Wavelength,Intensity,Absorbance,Reflectance
1130.3908875656462,16236,0.9622173,0.10908944
1131.6160152954685,19215,0.8896362,0.12893291
1132.840659701917,19205,0.8903487,0.12872157
1135.2884985446908,18534,0.9067592,0.12394837
1136.5116929810165,16605,0.9550032,0.11091666
1137.734404093968,15071,0.9976161,0.10055042
1138.956631883545,17228,0.94003874,0.11480512
1140.1783763497479,19782,0.88060784,0.13164128
1141.3996374925766,17684,0.92997617,0.1174962
1142.6204153120311,16039,0.97308004,0.10639469
1145.0605209808173,16824,0.95373166,0.111241885
1146.279848830149,17536,0.93642765,0.115763694
1147.4986933561063,14779,1.0114121,0.09740649
1148.7170545586896,15041,1.0046011,0.09894614
1149.9349324378986,16165,0.97412133,0.1061399
1151.1523269937334,17337,0.94454074,0.11362117
1153.5856661352805,14464,1.0252962,0.09434172
1154.8016107209924,13742,1.0485646,0.089420155
1156.0170719833304,15343,1.0017091,0.09960723
1157.2320499222938,16883,0.96117234,0.10935223
1158.4465445378833,14705,1.0221572,0.095026076
1159.6605558300985,12704,1.0863408,0.08197081
1162.087128444406,14397,1.033151,0.09265075
1163.2996897664984,16502,0.97439766,0.10607239
1164.5117677652167,13463,1.0633001,0.08643703
1165.7233624405608,11884,1.1179866,0.07621027
1166.9344737925303,14048,1.0459692,0.089956135
1168.145101821126,16784,0.96931905,0.10732007
1169.3552465263472,12387,1.1018783,0.07909002
1171.774085966667,17507,0.9535915,0.11127778
1172.9827807017655,16330,0.98478764,0.103564836
1174.1909921134898,13653,1.063561,0.086385146
1175.39872020184,14747,1.0310926,0.09309093
1176.605964966816,16105,0.9936299,0.101477586
1177.8127264084173,16022,0.99673504,0.10075462
1180.2247993214978,15042,1.0258497,0.094221555
1181.4301107929768,16415,0.98919654,0.10251878
1182.6349389410816,12704,1.1017725,0.079109274
1183.839283765812,14678,1.04031,0.091136
1185.0431452671683,16870,0.9813988,0.10437612
1186.2465234451502,12566,1.1108431,0.07747417
1188.6518298309913,17299,0.9752895,0.10585478
1189.8537580388506,16236,1.004574,0.09895233
1191.0552029233359,14131,1.0666077,0.08578123
1192.2561644844463,17049,0.9867972,0.10308674
1193.456642722183,12024,1.1399937,0.07244465
1194.6566376365454,14376,1.0641907,0.08625997
1195.8561492275335,17374,0.9837077,0.103822686
1198.2537224393868,16801,1.0025387,0.09941714
1199.4517840602523,12822,1.1220305,0.075503916
1200.6493623577435,14971,1.0571252,0.08767481
1201.8464573318602,17751,0.9855247,0.103389226
1203.043068982603,13468,1.1078006,0.07801883
1204.2391973099716,18487,0.9725006,0.10653674
1206.6300039945854,17435,1.0024269,0.09944276
1207.8246823518314,15027,1.0691953,0.08527167
1209.0188773857028,14909,1.074824,0.08417362
1210.2125890962002,16381,1.0360601,0.092032224
1211.405817483323,16587,1.0325243,0.09278455
1212.5985625470719,16284,1.042405,0.090697445
1214.982602704447,14290,1.1028862,0.078906685
1216.1738977980729,17018,1.0288883,0.093564615
1217.3647095683248,17402,1.0210586,0.095266774
1218.5550380152022,16896,1.0357196,0.092104405
1219.7448831387057,15104,1.08624,0.08198982
1220.9342449388348,12918,1.1559459,0.06983194
1222.1231234155898,16038,1.0637388,0.08634976
1224.499430398977,19988,0.971562,0.10676723
1225.686858905609,16113,1.0671108,0.08568192
1226.873804088867,20711,0.960024,0.10964176
1228.0602659487508,19747,0.9826532,0.1040751
1229.2462444852604,17193,1.0448077,0.09019705
1230.4317396983956,18901,1.0056614,0.0987049
1232.8012801545433,20684,0.97044003,0.10704342
1233.985325397556,20045,0.98601276,0.10327311
1235.1688873171943,17645,1.0433216,0.09050621
1236.3519659134581,19489,1.0020254,0.099534735
1237.5345611863481,20896,0.97360426,0.106266335
1238.7166731358639,20050,0.99338895,0.1015339
1241.0794470647722,18165,1.0399777,0.09120578
1242.2601090441651,18835,1.0261186,0.09416323
